id_producto,id_categoria,nombre,categoria,descripcion,precio de compra,stock
23,23,SSD M.2 ADATA 1TB Legend 960 7400MB/s NVMe PCIe,almacenamiento,"La memoria SSD, o unidad de estado sólido (SSD), es un dispositivo de almacenamiento que utiliza memoria flash no volátil para almacenar y recuperar datos. A diferencia de los discos duros (HDD), las SSD no tienen partes móviles, como el disco giratorio o los cabezales de lectura y escritura.",121000,15
24,24,Cooler Master Masterbox NR200P White Mini ITX,gabinete,"es la pieza que protege los componentes internos de la computadora. Entre sus funciones se encuentran: Proteger los componentes internos de la computadora, Dar soporte a las piezas de la computadora, Ofrecer ventilación, Dar estética a la computadora.",93000,10
25,25,Corsair 4000D TG Airflow White ATX,gabinete,"es la pieza que protege los componentes internos de la computadora. Entre sus funciones se encuentran: Proteger los componentes internos de la computadora, Dar soporte a las piezas de la computadora, Ofrecer ventilación, Dar estética a la computadora.",126000,10
26,26,Corsair ICUE LINK 2500X TG White Dual Chamber M-ATX,gabinete,"es la pieza que protege los componentes internos de la computadora. Entre sus funciones se encuentran: Proteger los componentes internos de la computadora, Dar soporte a las piezas de la computadora, Ofrecer ventilación, Dar estética a la computadora.",238000,10
27,27,"ASUS 24"" VG248QG Full HD 165Hz 0.5ms TN G-Sync FreeSync",monitor,"Un monitor es un dispositivo que muestra información de una computadora, como imágenes y textos, en forma visual. Es un dispositivo de salida que se conecta a la computadora a través de una tarjeta gráfica.",250000,2
28,28,"Samsung Odyssey G4 25"" 240Hz IPS Full HD GSync FreeSync",monitor,"Un monitor es un dispositivo que muestra información de una computadora, como imágenes y textos, en forma visual. Es un dispositivo de salida que se conecta a la computadora a través de una tarjeta gráfica.",515000,2
29,29,Razer DeathAdder Essential Ergonomic Black,mouse,Un mouse o ratón es un dispositivo de entrada para computadoras que se usa para manipular objetos en la pantalla y seleccionar acciones,30000,5
30,30,Logitech G305 Lightspeed Wireless White,mouse,Un mouse o ratón es un dispositivo de entrada para computadoras que se usa para manipular objetos en la pantalla y seleccionar acciones,39000,5
31,31,ASUS TUF P307 M4 Air Black USB,mouse,Un mouse o ratón es un dispositivo de entrada para computadoras que se usa para manipular objetos en la pantalla y seleccionar acciones,54000,5
32,32,Razer Viper V3 HyperSpeed Wireless Esports Black 280Hs,mouse,Un mouse o ratón es un dispositivo de entrada para computadoras que se usa para manipular objetos en la pantalla y seleccionar acciones,91000,5
33,33,Redragon Fizz Pro K616-RGB 60% White/Pink Wireless,teclado,"Un teclado es un dispositivo de entrada que se usa para introducir caracteres y funciones en un sistema informático. Los teclados tienen entre 99 y 108 teclas, y se dividen en cuatro bloques: alfanumérico, numérico, especial y de funciones.",52000,5
34,34,Logitech G413 SE Retroluminado Blanco Switch Brown,teclado,"Un teclado es un dispositivo de entrada que se usa para introducir caracteres y funciones en un sistema informático. Los teclados tienen entre 99 y 108 teclas, y se dividen en cuatro bloques: alfanumérico, numérico, especial y de funciones.",79000,5
35,35,ASUS ROG M602 Falchion Ace RGB White Switch Brown,teclado,"Un teclado es un dispositivo de entrada que se usa para introducir caracteres y funciones en un sistema informático. Los teclados tienen entre 99 y 108 teclas, y se dividen en cuatro bloques: alfanumérico, numérico, especial y de funciones.",91000,5
36,36,Razer BlackWidow V4 X RGB Switch Yellow Linear,teclado,"Un teclado es un dispositivo de entrada que se usa para introducir caracteres y funciones en un sistema informático. Los teclados tienen entre 99 y 108 teclas, y se dividen en cuatro bloques: alfanumérico, numérico, especial y de funciones.",136000,5
37,37,Logitech Aurora G735 Wireless White RGB,auricular,"Los headsets para gaming son una herramienta esencial para los jugadores en línea que buscan mejorar su experiencia de juego. Estos dispositivos están diseñados para ofrecer una calidad de sonido superior, comodidad y otras características útiles.",247000,5
38,38,Razer BLACKSHARK V2 PRO Wireless USB-C White,auricular,"Los headsets para gaming son una herramienta esencial para los jugadores en línea que buscan mejorar su experiencia de juego. Estos dispositivos están diseñados para ofrecer una calidad de sonido superior, comodidad y otras características útiles.",333000,5
39,39,Razer Gigantus V2 XXL,mousepad,"las alfombrillas para ratón son un accesorio esencial para cualquier persona que utilice un ordenador de manera regular. Ofrecen una superficie lisa y consistente para el ratón, protegen la mesa y pueden aliviar la fatiga y la tensión en la muñeca y el brazo.",44000,5
40,40,ASUS ROG NC08 Scabbard II,mousepad,"las alfombrillas para ratón son un accesorio esencial para cualquier persona que utilice un ordenador de manera regular. Ofrecen una superficie lisa y consistente para el ratón, protegen la mesa y pueden aliviar la fatiga y la tensión en la muñeca y el brazo.",73000,5
